# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_gofr[1] c_gofr[2] c_gofr[3]
31000 100
1 0.06 0 0
2 0.18 0 0
3 0.3 0 0
4 0.42 0 0
5 0.54 0 0
6 0.66 0 0
7 0.78 0 0
8 0.9 0 0
9 1.02 0 0
10 1.14 0 0
11 1.26 0 0
12 1.38 0 0
13 1.5 0 0
14 1.62 0 0
15 1.74 0 0
16 1.86 0 0
17 1.98 0 0
18 2.1 0 0
19 2.22 0 0
20 2.34 0 0
21 2.46 0.0212003 0.00625
22 2.58 0.65925 0.22
23 2.7 2.34922 1.05423
24 2.82 2.68936 2.09601
25 2.94 1.93079 2.90894
26 3.06 1.30083 3.50226
27 3.18 1.01118 4.00034
28 3.3 0.919123 4.48788
29 3.42 0.886219 4.99279
30 3.54 0.889867 5.53591
31 3.66 0.891984 6.11793
32 3.78 0.901484 6.74534
33 3.9 0.948464 7.44798
34 4.02 0.969269 8.21091
35 4.14 1.00144 9.04697
36 4.26 1.04125 9.96731
37 4.38 1.04317 10.9421
38 4.5 1.061 11.9886
39 4.62 1.05172 13.0819
40 4.74 1.06281 14.245
41 4.86 1.03903 15.4403
42 4.98 1.03146 16.6862
43 5.1 0.997606 17.95
44 5.22 0.996578 19.2726
45 5.34 0.963017 20.6101
46 5.46 0.947529 21.9859
47 5.58 0.94688 23.4219
48 5.7 0.9354 24.9021
49 5.82 0.945164 26.4614
50 5.94 0.942871 28.0817
51 6.06 0.964346 29.8066
52 6.18 0.976818 31.6237
53 6.3 1.00092 33.5585
54 6.42 1.0098 35.5857
55 6.54 1.02356 37.7179
56 6.66 1.03343 39.9505
57 6.78 1.02647 42.2487
58 6.9 1.03476 44.6481
59 7.02 1.03245 47.1262
60 7.14 1.03261 49.6901
61 7.26 1.02133 52.312
62 7.38 1.01255 54.998
63 7.5 1.0105 57.7664
64 7.62 0.997273 60.5867
65 7.74 0.990751 63.4776
66 7.86 0.989467 66.4548
67 7.98 0.987342 69.5171
68 8.1 0.983781 72.6608
69 8.22 0.990966 75.922
70 8.34 0.992066 79.2827
71 8.46 0.990421 82.7351
72 8.58 0.995622 86.3049
73 8.7 0.996992 89.9803
74 8.82 1.00263 93.779
75 8.94 1.00198 97.6794
76 9.06 1.00239 101.687
77 9.18 0.998233 105.784
78 9.3 1.00253 110.007
79 9.42 1.00277 114.341
80 9.54 1.00234 118.784
81 9.66 1.0049 123.351
82 9.78 1.00165 128.017
83 9.9 1.00679 132.823
84 10.02 0.992754 137.678
85 10.14 0.998739 142.679
86 10.26 0.998765 147.8
87 10.38 1.0022 153.059
88 10.5 0.995936 158.407
89 10.62 1.00415 163.923
90 10.74 1.0054 169.571
91 10.86 1.00325 175.334
92 10.98 0.995363 181.178
93 11.1 1.0025 187.194
94 11.22 1.0003 193.327
95 11.34 0.996337 199.568
96 11.46 1.00055 205.968
97 11.58 1.00194 212.511
98 11.7 1.00294 219.198
99 11.82 0.999698 226
100 11.94 0.997997 232.93
32000 100
1 0.06 0 0
2 0.18 0 0
3 0.3 0 0
4 0.42 0 0
5 0.54 0 0
6 0.66 0 0
7 0.78 0 0
8 0.9 0 0
9 1.02 0 0
10 1.14 0 0
11 1.26 0 0
12 1.38 0 0
13 1.5 0 0
14 1.62 0 0
15 1.74 0 0
16 1.86 0 0
17 1.98 0 0
18 2.1 0 0
19 2.22 0 0
20 2.34 0 0
21 2.46 0.0251544 0.00745192
22 2.58 0.659182 0.222212
23 2.7 2.34676 1.05952
24 2.82 2.68505 2.10452
25 2.94 1.90753 2.91144
26 3.06 1.29945 3.50692
27 3.18 1.01914 4.0113
28 3.3 0.898957 4.49038
29 3.42 0.87973 4.99394
30 3.54 0.877227 5.53192
31 3.66 0.905487 6.12553
32 3.78 0.918835 6.76803
33 3.9 0.950711 7.47567
34 4.02 0.985118 8.25476
35 4.14 1.00082 9.09423
36 4.26 1.02134 10.0012
37 4.38 1.05108 10.988
38 4.5 1.05992 12.0384
39 4.62 1.07707 13.1634
40 4.74 1.06651 14.336
41 4.86 1.03821 15.536
42 4.98 1.02232 16.7767
43 5.1 1.01059 18.063
44 5.22 0.994293 19.3888
45 5.34 0.969202 20.7413
46 5.46 0.951514 22.1294
47 5.58 0.93623 23.556
48 5.7 0.924209 25.0254
49 5.82 0.930536 26.5678
50 5.94 0.945676 28.2006
51 6.06 0.968083 29.9404
52 6.18 0.979692 31.7714
53 6.3 0.986206 33.6868
54 6.42 1.00919 35.7223
55 6.54 1.01684 37.8506
56 6.66 1.0353 40.0977
57 6.78 1.03015 42.415
58 6.9 1.0375 44.8322
59 7.02 1.03385 47.3253
60 7.14 1.031 49.8974
61 7.26 1.02401 52.5385
62 7.38 1.01551 55.245
63 7.5 1.01588 58.0413
64 7.62 1.00357 60.8928
65 7.74 0.992501 63.8024
66 7.86 0.985344 66.7813
67 7.98 0.981738 69.8406
68 8.1 0.989779 73.0184
69 8.22 0.99264 76.3005
70 8.34 0.994721 79.6862
71 8.46 0.989481 83.1517
72 8.58 0.994268 86.7334
73 8.7 0.987147 90.3897
74 8.82 0.997922 94.1885
75 8.94 1.00016 98.1001
76 9.06 1.0044 102.134
77 9.18 1.0047 106.278
78 9.3 0.999366 110.507
79 9.42 1.0082 114.885
80 9.54 1.00686 119.369
81 9.66 1.00413 123.955
82 9.78 1.00008 128.635
83 9.9 0.995509 133.41
84 10.02 0.996663 138.307
85 10.14 1.00001 143.338
86 10.26 1.00223 148.501
87 10.38 1.00191 153.783
88 10.5 1.0002 159.179
89 10.62 0.999451 164.695
90 10.74 1.00088 170.345
91 10.86 0.999295 176.112
92 10.98 0.997627 181.997
93 11.1 1.00168 188.037
94 11.22 0.9993 194.193
95 11.34 0.999932 200.485
96 11.46 0.998256 206.9
97 11.58 1.00345 213.485
98 11.7 0.999254 220.179
99 11.82 1.00156 227.026
100 11.94 1.00475 234.035
33000 100
1 0.06 0 0
2 0.18 0 0
3 0.3 0 0
4 0.42 0 0
5 0.54 0 0
6 0.66 0 0
7 0.78 0 0
8 0.9 0 0
9 1.02 0 0
10 1.14 0 0
11 1.26 0 0
12 1.38 0 0
13 1.5 0 0
14 1.62 0 0
15 1.74 0 0
16 1.86 0 0
17 1.98 0 0
18 2.1 0 0
19 2.22 0 0
20 2.34 0 0
21 2.46 0.0221279 0.00653846
22 2.58 0.659271 0.220865
23 2.7 2.37045 1.06486
24 2.82 2.67915 2.10543
25 2.94 1.91269 2.91284
26 3.06 1.29408 3.50462
27 3.18 1.01214 4.00447
28 3.3 0.887062 4.47625
29 3.42 0.870186 4.97332
30 3.54 0.880481 5.51216
31 3.66 0.898172 6.09971
32 3.78 0.921821 6.74298
33 3.9 0.946454 7.44601
34 4.02 0.979441 8.21899
35 4.14 1.01278 9.06673
36 4.26 1.03182 9.98115
37 4.38 1.05604 10.9705
38 4.5 1.07218 12.0308
39 4.62 1.06515 13.1411
40 4.74 1.05836 14.3023
41 4.86 1.04206 15.5042
42 4.98 1.02468 16.7452
43 5.1 1.00833 18.0259
44 5.22 0.984557 19.336
45 5.34 0.955239 20.6662
46 5.46 0.953245 22.0539
47 5.58 0.94045 23.4839
48 5.7 0.933112 24.9644
49 5.82 0.938057 26.5161
50 5.94 0.942805 28.1406
51 6.06 0.956631 29.8562
52 6.18 0.974523 31.6738
