# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_gofr[1] c_gofr[2] c_gofr[3]
31000 100
1 0.06 0 0
2 0.18 0 0
3 0.3 0 0
4 0.42 0 0
5 0.54 0 0
6 0.66 0 0
7 0.78 0 0
8 0.9 0 0
9 1.02 0 0
10 1.14 0 0
11 1.26 0 0
12 1.38 0 0
13 1.5 0 0
14 1.62 0 0
15 1.74 0 0
16 1.86 0 0
17 1.98 0 0
18 2.1 0 0
19 2.22 0 0
20 2.34 0 0
21 2.46 0.0221819 0.00653846
22 2.58 0.628903 0.210385
23 2.7 2.34414 1.04269
24 2.82 2.86115 2.15077
25 2.94 1.82941 2.92077
26 3.06 1.28973 3.50885
27 3.18 0.985032 3.99385
28 3.3 0.962502 4.50423
29 3.42 0.848627 4.98769
30 3.54 0.918911 5.54846
31 3.66 0.922639 6.15038
32 3.78 0.917052 6.78846
33 3.9 0.954522 7.49538
34 4.02 0.967741 8.25692
35 4.14 1.00131 9.09269
36 4.26 1.01976 9.99385
37 4.38 1.058 10.9823
38 4.5 1.07587 12.0431
39 4.62 1.04398 13.1281
40 4.74 1.0115 14.2346
41 4.86 1.04176 15.4327
42 4.98 1.02551 16.6712
43 5.1 1.014 17.9554
44 5.22 0.986219 19.2638
45 5.34 0.966103 20.6054
46 5.46 0.973659 22.0188
47 5.58 0.944716 23.4512
48 5.7 0.927276 24.9181
49 5.82 0.942743 26.4731
50 5.94 0.954149 28.1123
51 6.06 0.964399 29.8369
52 6.18 0.994929 31.6873
53 6.3 0.987078 33.595
54 6.42 1.02065 35.6435
55 6.54 1.02141 37.7708
56 6.66 1.02196 39.9781
57 6.78 1.04336 42.3135
58 6.9 1.03481 44.7123
59 7.02 1.04341 47.2162
60 7.14 1.01504 49.7358
61 7.26 1.01382 52.3377
62 7.38 1.03444 55.0812
63 7.5 0.999069 57.8177
64 7.62 1.00753 60.6662
65 7.74 1.02347 63.6515
66 7.86 0.977107 66.5908
67 7.98 0.969768 69.5977
68 8.1 0.987314 72.7519
69 8.22 0.980013 75.9765
70 8.34 0.994801 79.3458
71 8.46 0.988758 82.7915
72 8.58 0.999952 86.3758
73 8.7 0.998172 90.0546
74 8.82 0.987125 93.7938
75 8.94 1.0038 97.7004
76 9.06 1.00476 101.716
77 9.18 1.01876 105.897
78 9.3 0.991143 110.071
79 9.42 1.01212 114.444
80 9.54 1.01037 118.921
81 9.66 1.0097 123.509
82 9.78 1.01005 128.213
83 9.9 1.00842 133.026
84 10.02 0.996541 137.898
85 10.14 1.01644 142.987
86 10.26 0.996002 148.092
87 10.38 0.992502 153.299
88 10.5 0.996281 158.647
89 10.62 1.00087 164.144
90 10.74 0.995157 169.733
91 10.86 0.997911 175.464
92 10.98 0.99052 181.278
93 11.1 1.00065 187.282
94 11.22 1.00482 193.441
95 11.34 1.01013 199.765
96 11.46 0.983653 206.056
97 11.58 1.00555 212.622
98 11.7 1.01044 219.357
99 11.82 0.994877 226.125
100 11.94 0.99719 233.047
