# Time-averaged data for fix adf
# TimeStep Number-of-rows
# Row c_gofa[1] c_gofa[2] c_gofa[3] c_gofa[4] c_gofa[5]
1000 45
1 2 0 0 0 0
2 6 0 0 0 0
3 10 0 0 0 0
4 14 0 0 0 0
5 18 0 0 0 0
6 22 0 0 0 0
7 26 0 0 0 0
8 30 0 0 0 0
9 34 0 0 0 0
10 38 0 0 0 0
11 42 2.38261e-05 0.00109333 0 0
12 46 0.00169795 0.07908 0 0
13 50 0.00729933 0.414407 0 0
14 54 0.00890677 0.823507 0 0
15 58 0.00710711 1.14999 0 0
16 62 0.00673835 1.45955 0 0
17 66 0.00753146 1.80549 0 0
18 70 0.00860919 2.20094 0 0
19 74 0.00959476 2.64165 0 0
20 78 0.010147 3.10763 2.53358e-06 1e-05
21 82 0.0105911 3.59401 3.39037e-05 0.000143333
22 86 0.0111317 4.10528 9.65465e-05 0.000523333
23 90 0.0116219 4.63899 0.00016776 0.00118333
24 94 0.0119756 5.18895 0.000245554 0.00215
25 98 0.0119685 5.73855 0.000337862 0.00348
26 102 0.0118803 6.28407 0.000453585 0.00526667
27 106 0.0116716 6.82001 0.000751913 0.00822667
28 110 0.0113136 7.33953 0.00110597 0.01258
29 114 0.0106533 7.82875 0.00157006 0.01876
30 118 0.0100216 8.28898 0.00215723 0.0272533
31 122 0.00931386 8.71668 0.0027625 0.0381267
32 126 0.00856645 9.11011 0.0036626 0.0525433
33 130 0.00781502 9.46906 0.00473998 0.0712
34 134 0.00713024 9.79655 0.0058851 0.0943633
35 138 0.0063926 10.0902 0.00798656 0.125797
36 142 0.00572424 10.3531 0.0106439 0.16769
37 146 0.00515731 10.5899 0.013889 0.222357
38 150 0.00456889 10.7998 0.0180951 0.293573
39 154 0.00392041 10.9798 0.0232876 0.38523
40 158 0.00335933 11.1341 0.0287434 0.498357
41 162 0.00274688 11.2602 0.0323757 0.62578
42 166 0.00210426 11.3569 0.0334041 0.757247
43 170 0.00149492 11.4255 0.0295092 0.873387
44 174 0.000912875 11.4675 0.0205716 0.95435
45 178 0.000307695 11.4816 0.00752083 0.98395
