# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_gofr[1] c_gofr[2] c_gofr[3] c_gofr[4] c_gofr[5] c_gofr[6] c_gofr[7]
1000 100
1 0.06 0 0 0 0 0 0
2 0.18 0 0 0 0 0 0
3 0.3 0 0 0 0 0 0
4 0.42 0 0 0 0 0 0
5 0.54 0 0 0 0 0 0
6 0.66 0 0 0 0 0 0
7 0.78 0 0 0 0 0 0
8 0.9 0 0 0 0 0 0
9 1.02 0 0 0 0 18.9675 2
10 1.14 0 0 0 0 0 2
11 1.26 0 0 0 0 0 2
12 1.38 0 0 0 0 0 2
13 1.5 0 0 0.00263368 0.0006 0.0529486 2.01207
14 1.62 0 0 3.78162 1.0054 0.697028 2.19733
15 1.74 0 0 0.0854785 1.0316 1.50049 2.6574
16 1.86 0 0 0.25926 1.1224 1.27779 3.10507
17 1.98 0 0 0.561575 1.34527 0.780872 3.41507
18 2.1 0 0 0.884396 1.74007 0.459667 3.62033
19 2.22 0 0 1.19096 2.3342 0.267984 3.75407
20 2.34 0 0 1.34213 3.07807 0.208744 3.8698
21 2.46 0.0352751 0.0108 1.27775 3.86073 0.197583 3.99087
22 2.58 0.925692 0.322533 1.12596 4.61933 0.257976 4.16473
23 2.7 2.73351 1.33067 0.926466 5.30293 0.397053 4.4578
24 2.82 2.63908 2.3924 0.79431 5.94227 0.62588 4.96173
25 2.94 1.72218 3.14547 0.716321 6.56893 0.937154 5.78187
26 3.06 1.14279 3.6868 0.731101 7.2618 1.28985 7.00467
27 3.18 0.876518 4.1352 0.781191 8.06133 1.52598 8.567
28 3.3 0.841286 4.59867 0.853224 9.00173 1.5428 10.268
29 3.42 0.85878 5.1068 0.947925 10.1239 1.41787 11.947
30 3.54 0.858128 5.6508 1.02158 11.4195 1.29022 13.5839
31 3.66 0.885227 6.25067 1.09982 12.9106 1.16336 15.1617
32 3.78 0.896327 6.89853 1.15576 14.5819 1.04846 16.6783
33 3.9 0.984987 7.6564 1.16543 16.3759 0.994115 18.2091
34 4.02 0.994261 8.4692 1.15261 18.2611 0.982107 19.8159
35 4.14 1.05511 9.384 1.08442 20.1421 0.975257 21.5082
36 4.26 1.08133 10.3767 1.06663 22.1011 0.963292 23.278
37 4.38 1.09392 11.4383 1.03594 24.1125 0.968146 25.1583
38 4.5 1.09389 12.5588 1.01887 26.2005 0.95795 27.1222
39 4.62 1.08572 13.7311 1.01472 28.3925 0.946073 29.1665
40 4.74 1.07204 14.9495 1.00815 30.6848 0.959304 31.3485
41 4.86 1.05457 16.2095 1.00154 33.0789 0.958103 33.6395
42 4.98 1.03838 17.5121 0.988307 35.5594 0.973585 36.0839
43 5.1 0.980056 18.8016 0.980312 38.1399 0.997556 38.7107
44 5.22 0.969663 20.1381 0.954085 40.7709 1.0088 41.4935
45 5.34 0.942011 21.4969 0.956712 43.5318 1.02018 44.4385
46 5.46 0.919982 22.8843 0.964554 46.4419 1.02195 47.5228
